"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"Cards beat Wake Forest 44-12 behind Brandon Radcliff's 3 TD's. #L1C4 #GoCards https://t.co/9eqTQK8S7i",FALSE,1,NA,2016-11-13 05:38:18,FALSE,NA,"797674929835638784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UoflUpdates",2,FALSE,FALSE,NA,NA,"Louisville, KY","en","http://pbs.twimg.com/profile_images/733814993284653056/wHAdyQIo_normal.jpg"
"Find me in the Living Forest in Mortal Kombat: Deception.",FALSE,0,NA,2016-11-13 05:38:17,FALSE,NA,"797674926031310848",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","ReptileSecrets",0,FALSE,FALSE,NA,NA,"Outworld","en","http://pbs.twimg.com/profile_images/3369381734/e2e33679cec6aa7703b491060c739255_normal.jpeg"
"The dad God of the forest is called Rolts",FALSE,0,NA,2016-11-13 05:38:15,FALSE,NA,"797674918083264513",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","PlaySkycafe",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/703850814427672578/Qwt4ZN7z_normal.jpg"
"""It smells like a forest fire mixed with Mary-Kate &amp; Ashley perfume also""",FALSE,0,NA,2016-11-13 05:38:14,FALSE,NA,"797674916116107264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sydneyyf95",0,FALSE,FALSE,NA,NA,"ETSU","en","http://pbs.twimg.com/profile_images/793694517526421504/n2jzsCwQ_normal.jpg"
"RT @jwkim9758: &lt;경찰추산 틀렸다! 100만 명 확실한 데이터 나왔다&gt; `3차 촛불집회` 당일 광화문 일대 지하철이용자 119만명  https://t.co/eqBlACRC76 펌 https://t.co/ymfVdIDOBm",FALSE,0,NA,2016-11-13 05:38:12,FALSE,NA,"797674907442159616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Norway_Forest",26,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1950417084/image_normal.jpg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:38:10,FALSE,NA,"797674897325559809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emllygriffin__",24,TRUE,FALSE,NA,NA,"Brisbane, Australia","en","http://pbs.twimg.com/profile_images/540334758602211329/GSTIZTMD_normal.jpeg"
"RT @JeffRisdon: Apparently nobody paid attention. Louisville was losing 12-10 in the 4Q to Wake Forest before they woke up to run away with…",FALSE,0,NA,2016-11-13 05:38:09,FALSE,NA,"797674892619612160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KHMakerD",4,TRUE,FALSE,NA,NA,"Michigan, USA","en","http://pbs.twimg.com/profile_images/515568699818799104/Jf3bVkc6_normal.jpeg"
"RT @Electric_Forest: The Forest misses you. https://t.co/VI7f7LD8vO",FALSE,0,NA,2016-11-13 05:38:07,FALSE,NA,"797674887372505088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HColglazier",241,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/634407361189249024/wjxqWWZZ_normal.jpg"
".@nuwardm Welcome back! Batok is a lovely place! Just inaccessible to different parts of SG. Tengah will be forest theme HDB town in future!",FALSE,0,"nuwardm",2016-11-13 05:38:06,FALSE,"797673218169446400","797674883257757696","780751458","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hellofrmSG",0,FALSE,FALSE,NA,NA,"Singapore","en","http://pbs.twimg.com/profile_images/797669591547682816/GW6OBDdE_normal.jpg"
"@2_kara_forest 몸은 계속 피곤했던 것 같은데. 잘 잤어? 오늘은 일찍 눈 감고 자.",FALSE,0,"2_kara_forest",2016-11-13 05:38:02,FALSE,"797637851886141440","797674865113251841","775532621124079616","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Benign_ichi",0,FALSE,FALSE,NA,NA,"","ko","http://pbs.twimg.com/profile_images/797384259795230721/nRIv-NGP_normal.jpg"
